TYPE-COLLATERAL,COLLATERAL,PARTY,DOC-ID,DRDATE,PROCESSING-DATE,CORR-DATE,CORR-ID,SERIAL-ID,DOC-TYPE,
2,SAFRN ARRIEL 2S2 42193               ,                                                  ,ARE016930619,20250604,20250604,        , ,42193                         ,S/A,
2,SAFRN ARRIEL 2S2 42408               ,                                                  ,ARE016930619,20250604,20250604,        , ,42408                         ,S/A,
2,SAFRN ARRIEL 2S2 42408               ,                                                  ,ARE016930619,20250604,20250604,        , ,42408                         ,S/A,
2,SAFRN ARRIEL 2S2 42408               ,                                                  ,ARE016930619,20250604,20250604,        , ,42408                         ,S/A,
2,SNECM ATAR 9K50 11322                ,                                                  ,ARE016940866,20250609,20250609,        , ,11322                         ,REL,
2,SNECM ATAR 9K50 11522                ,                                                  ,ARE016940866,20250609,20250609,        , ,11522                         ,REL,
2,SNECM ATAR 9K50 19543                ,                                                  ,ARE016940866,20250609,20250609,        , ,19543                         ,REL,
2,SNECM ATAR 9K50 19559                ,                                                  ,ARE016940866,20250609,20250609,        , ,19559                         ,REL,
2,SNECM ATAR 9K50 19809                ,                                                  ,ARE016940866,20250609,20250609,        , ,19809                         ,REL,
2,SNECM ATAR 9K50 19819                ,                                                  ,ARE016940866,20250609,20250609,        , ,19819                         ,REL,
2,SNECM ATAR 9K50 19821                ,                                                  ,ARE016940866,20250609,20250609,        , ,19821                         ,REL,
2,SNECM ATAR 9K50 19825                ,                                                  ,ARE016940866,20250609,20250609,        , ,19825                         ,REL,
2,SNECM ATAR 9K50 19840                ,                                                  ,ARE016940866,20250609,20250609,        , ,19840                         ,REL,
2,SNECM ATAR 9K50 19843                ,                                                  ,ARE016940866,20250609,20250609,        , ,19843                         ,REL,
2,SNECM ATAR 9K50 19860                ,                                                  ,ARE016940866,20250609,20250609,        , ,19860                         ,REL,
2,SNECM ATAR 9K50 19879                ,                                                  ,ARE016940866,20250609,20250609,        , ,19879                         ,REL,
2,SNECM ATAR 9K50 19882                ,                                                  ,ARE016940866,20250609,20250609,        , ,19882                         ,REL,
2,SNECM ATAR 9K50 19884                ,                                                  ,ARE016898137,20250520,20250520,20250605,C,19884                         ,REL,
2,SNECM ATAR 9K50 19884                ,                                                  ,ARE016940866,20250609,20250609,        , ,19884                         ,REL,
2,SNECM ATAR 9K50 19885                ,                                                  ,ARE016940866,20250609,20250609,        , ,19885                         ,REL,
2,SNECM ATAR 9K50 19886                ,                                                  ,ARE016940866,20250609,20250609,        , ,19886                         ,REL,
2,SNECM ATAR 9K50 19887                ,                                                  ,ARE016940866,20250609,20250609,        , ,19887                         ,REL,
2,SNECM ATAR 9K50 19888                ,                                                  ,ARE016940866,20250609,20250609,        , ,19888                         ,REL,
2,SNECM ATAR 9K50 19895                ,                                                  ,ARE016940866,20250609,20250609,        , ,19895                         ,REL,
2,SNECM ATAR 9K50 20901                ,                                                  ,ARE016940866,20250609,20250609,        , ,20901                         ,REL,
2,SNECM ATAR 9K50 20926                ,                                                  ,ARE016940866,20250609,20250609,        , ,20926                         ,REL,
2,SNECM ATAR 9K50 20930                ,                                                  ,ARE016940866,20250609,20250609,        , ,20930                         ,REL,
2,SNECM ATAR 9K50 21002                ,                                                  ,ARE016940866,20250609,20250609,        , ,21002                         ,REL,
2,SNECM ATAR 9K50 21016                ,                                                  ,ARE016940866,20250609,20250609,        , ,21016                         ,REL,
2,SNECM ATAR 9K50 21019                ,                                                  ,ARE016940866,20250609,20250609,        , ,21019                         ,REL,
2,SNECM ATAR 9K50 21020                ,                                                  ,ARE016898137,20250520,20250520,20250605,C,21020                         ,REL,
2,SNECM ATAR 9K50 21020                ,                                                  ,ARE016940866,20250609,20250609,        , ,21020                         ,REL,
2,SNECM ATAR 9K50 PS003                ,                                                  ,ARE016940866,20250609,20250609,        , ,PS003                         ,REL,
2,TURBO ARRIEL 1B 22011                ,                                                  ,            ,20250625,20250626,        , ,22011                         ,S/A,
2,TURBO ARRIEL 1B 22011                ,                                                  ,            ,20250625,20250626,        , ,22011                         ,S/A,
2,TURBO ARRIEL 1B 22011                ,                                                  ,            ,20250625,20250626,        , ,22011                         ,S/A,
2,TURBO ARRIEL 1B 22011                ,                                                  ,            ,20250625,20250626,        , ,22011                         ,S/A,
2,TURBO ARRIEL 1B 22011                ,                                                  ,            ,20250625,20250626,        , ,22011                         ,S/A,
2,TURBO ARRIEL 1B 22011                ,                                                  ,            ,20250625,20250626,        , ,22011                         ,S/A,
2,TURBO ARRIEL 1B 22011                ,                                                  ,            ,20250625,20250626,        , ,22011                         ,S/A,
2,TURBO ARRIEL 1B 22011                ,                                                  ,            ,20250625,20250626,        , ,22011                         ,S/A,
2,TURBO ARRIEL 1B 22011                ,                                                  ,            ,20250625,20250626,        , ,22011                         ,S/A,
2,TURBO ARRIEL 1B 22111                ,                                                  ,            ,20250625,20250626,        , ,22111                         ,S/A,
2,TURBO ARRIEL 1B 22111                ,                                                  ,            ,20250625,20250626,        , ,22111                         ,S/A,
2,TURBO ARRIEL 1B 22111                ,                                                  ,            ,20250625,20250626,        , ,22111                         ,S/A,
2,TURBO ARRIEL 1B 22111                ,                                                  ,            ,20250625,20250626,        , ,22111                         ,S/A,
2,TURBO ARRIEL 1B 22111                ,                                                  ,            ,20250625,20250626,        , ,22111                         ,S/A,
2,TURBO ARRIEL 1B 22111                ,                                                  ,            ,20250625,20250626,        , ,22111                         ,S/A,
2,TURBO ARRIEL 1B 22111                ,                                                  ,            ,20250625,20250626,        , ,22111                         ,S/A,
